Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,23,NOH,NBA,PF,42,10,630,57,126,0.452,0,1,0,57,125,0.456,0.452,52,62,0.839,49,77,126,12,10,7,24,78,166
2012-13,24,NOH,NBA,SF,59,9,646,53,106,0.5,0,0,,53,106,0.5,0.5,43,59,0.729,44,71,115,17,11,7,14,78,149
2013-14,25,NOP,NBA,SF,5,0,42,2,9,0.222,0,0,,2,9,0.222,0.222,2,4,0.5,2,5,7,3,0,0,2,4,6
2014-15,26,OKC,NBA,SF,20,13,445,44,123,0.358,0,1,0,44,122,0.361,0.358,23,33,0.697,28,45,73,20,10,0,17,37,111
Career,,,NBA,,126,32,1763,156,364,0.429,0,2,0,156,362,0.431,0.429,120,158,0.759,123,198,321,52,31,14,57,197,432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NOHNOP,NBA,,106,19,1318,112,241,0.465,0,1,0,112,240,0.467,0.465,97,125,0.776,95,153,248,32,21,14,40,160,321
1 season,,OKC,NBA,,20,13,445,44,123,0.358,0,1,0,44,122,0.361,0.358,23,33,0.697,28,45,73,20,10,0,17,37,111
