Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,OKC,NBA,PG,82,65,2668,436,1095,0.398,35,129,0.271,401,966,0.415,0.414,349,428,0.815,178,221,399,435,110,16,274,191,1256
2009-10,21,OKC,NBA,PG,82,82,2813,485,1160,0.418,23,104,0.221,462,1056,0.438,0.428,329,422,0.78,143,258,401,652,108,34,268,204,1322
2010-11 ★,22,OKC,NBA,PG,82,82,2847,614,1390,0.442,34,103,0.33,580,1287,0.451,0.454,531,631,0.842,121,258,379,670,155,30,316,207,1793
2011-12 ★,23,OKC,NBA,PG,66,66,2331,578,1266,0.457,62,196,0.316,516,1070,0.482,0.481,340,413,0.823,96,205,301,362,112,21,239,147,1558
2012-13 ★,24,OKC,NBA,PG,82,82,2861,673,1535,0.438,97,300,0.323,576,1235,0.466,0.47,460,575,0.8,111,317,428,607,145,24,273,189,1903
2013-14,25,OKC,NBA,PG,46,46,1412,346,791,0.437,68,214,0.318,278,577,0.482,0.48,242,293,0.826,55,208,263,319,88,7,177,104,1002
2014-15,26,OKC,NBA,PG,7,7,196,55,115,0.478,7,19,0.368,48,96,0.5,0.509,53,67,0.791,10,27,37,46,12,0,30,19,170
Career,,,NBA,,447,430,15128,3187,7352,0.433,326,1065,0.306,2861,6287,0.455,0.456,2304,2829,0.814,714,1494,2208,3091,730,132,1577,1061,9004
