Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,19,UTA,NBA,C,66,0,874,117,236,0.496,0,1,0,117,235,0.498,0.496,70,105,0.667,107,171,278,8,18,23,54,87,304
2012-13,20,UTA,NBA,C,70,2,1078,206,379,0.544,1,1,1,205,378,0.542,0.545,93,117,0.795,135,169,304,31,28,32,101,116,506
2013-14,21,UTA,NBA,C,80,37,2138,419,853,0.491,0,1,0,419,852,0.492,0.491,149,204,0.73,222,376,598,75,28,42,144,230,987
2014-15,22,UTA,NBA,C,22,22,568,127,240,0.529,7,22,0.318,120,218,0.55,0.544,38,49,0.776,57,98,155,14,7,10,41,54,299
Career,,,NBA,,238,61,4658,869,1708,0.509,8,25,0.32,861,1683,0.512,0.511,350,475,0.737,521,814,1335,128,81,107,340,487,2096
