Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,20,CLE,NBA,SF,52,0,663,80,225,0.356,13,53,0.245,67,172,0.39,0.384,44,69,0.638,49,106,155,17,21,8,47,93,217
2014-15,21,MIN,NBA,PF,20,2,347,59,124,0.476,0,1,0,59,123,0.48,0.476,17,27,0.63,13,64,77,18,12,11,12,34,135
Career,,,NBA,,72,2,1010,139,349,0.398,13,54,0.241,126,295,0.427,0.417,61,96,0.635,62,170,232,35,33,19,59,127,352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,CLE,NBA,,52,0,663,80,225,0.356,13,53,0.245,67,172,0.39,0.384,44,69,0.638,49,106,155,17,21,8,47,93,217
1 season,,MIN,NBA,,20,2,347,59,124,0.476,0,1,0,59,123,0.48,0.476,17,27,0.63,13,64,77,18,12,11,12,34,135
