Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,19,MIN,NBA,SG,21,21,633,96,240,0.4,12,31,0.387,84,209,0.402,0.425,56,86,0.651,23,59,82,29,23,8,46,46,260
Career,,,NBA,,21,21,633,96,240,0.4,12,31,0.387,84,209,0.402,0.425,56,86,0.651,23,59,82,29,23,8,46,46,260
